time	cp
2	9.48305
4	9.48358
6	9.4847
8	9.48524
10	9.48508
12	9.48513
14	9.48525
16	9.48556
18	9.48584
20	9.48556
22	9.48622
24	9.48617
26	9.48528
28	9.48586
30	9.48748
32	9.48808
34	9.48718
36	9.48666
38	9.48715
40	9.48671
42	9.48651
44	9.48722
46	9.4883
48	9.4885
50	9.48963
52	9.49007
54	9.48966
56	9.49058
58	9.4903
60	9.49054
62	9.48971
64	9.48918
66	9.4895
68	9.48946
70	9.48963
72	9.48816
74	9.48573
76	9.48436
78	9.4846
80	9.48529
82	9.48571
84	9.48652
86	9.48602
88	9.48602
90	9.48813
92	9.4883
94	9.48806
96	9.48945
98	9.49001
100	9.48997
102	9.49053
104	9.49102
106	9.49217
108	9.49156
110	9.49267
112	9.49321
114	9.49369
116	9.49335
118	9.49263
120	9.49262
122	9.4925
124	9.4937
126	9.49427
128	9.49484
130	9.49442
132	9.49328
134	9.4926
136	9.49363
138	9.49424
140	9.49444
142	9.49504
144	9.49549
146	9.49563
148	9.49615
150	9.49691
152	9.49748
154	9.49722
156	9.49624
158	9.49703
160	9.49775
162	9.49801
164	9.4982
166	9.49832
168	9.49836
170	9.49908
172	9.49906
174	9.49856
176	9.49868
178	9.49963
180	9.49997
182	9.49953
184	9.49894
186	9.49998
188	9.49948
190	9.49982
192	9.49963
194	9.49923
196	9.50005
198	9.49993
200	9.49926
202	9.49953
204	9.49936
206	9.49931
208	9.49946
210	9.5
212	9.50057
214	9.50128
216	9.50118
218	9.50082
220	9.50143
222	9.50189
224	9.50158
226	9.5019
228	9.50211
230	9.50218
232	9.50224
234	9.50204
236	9.50285
238	9.50339
240	9.50264
242	9.50229
244	9.5024
246	9.50304
248	9.50234
250	9.50335
252	9.50263
254	9.50212
256	9.50197
258	9.50256
260	9.50288
262	9.50381
264	9.50446
266	9.50495
268	9.50505
270	9.50462
272	9.50492
274	9.50549
276	9.5058
278	9.50441
280	9.50401
282	9.50419
284	9.50497
286	9.50543
288	9.50611
290	9.50696
292	9.50666
294	9.507
296	9.50733
298	9.50675
300	9.50654
302	9.50655
304	9.50665
306	9.50733
308	9.50743
310	9.5072
312	9.50789
314	9.50821
316	9.50773
318	9.50779
320	9.50772
322	9.50696
324	9.50748
326	9.50787
328	9.50807
330	9.50822
332	9.5085
334	9.50913
336	9.5088
338	9.50838
340	9.50813
342	9.50844
344	9.50946
346	9.51039
348	9.51056
350	9.50965
352	9.51047
354	9.51011
356	9.50985
358	9.51135
360	9.51073
362	9.51074
364	9.51018
366	9.50677
368	9.49746
370	9.48588
372	9.47462
374	9.46246
376	9.45006
378	9.43645
380	9.42325
382	9.41241
384	9.40379
386	9.39906
388	9.39771
390	9.39718
392	9.40057
394	9.40553
396	9.41341
398	9.42221
400	9.43201
402	9.44126
404	9.45016
406	9.45715
408	9.46391
410	9.47044
412	9.47577
414	9.4802
416	9.48389
418	9.48708
420	9.49015
422	9.4922
424	9.49377
426	9.49559
428	9.49763
430	9.50016
432	9.502
434	9.5028
436	9.50292
438	9.50471
440	9.50665
442	9.50718
444	9.50722
446	9.50828
448	9.5089
450	9.50951
452	9.51006
454	9.51124
456	9.51142
458	9.51201
460	9.51148
462	9.51207
464	9.51221
466	9.51258
468	9.51161
470	9.51139
472	9.51198
474	9.5138
476	9.5137
478	9.51386
480	9.51366
482	9.51401
484	9.51459
486	9.51555
488	9.51492
490	9.51478
492	9.51421
494	9.51516
496	9.51562
498	9.51572
500	9.51621
502	9.51619
504	9.51741
506	9.51685
508	9.51693
510	9.51688
512	9.51623
514	9.51625
516	9.51692
518	9.51744
520	9.51749
522	9.51739
524	9.51802
526	9.51893
528	9.51854
530	9.51859
532	9.51877
534	9.51902
536	9.51802
538	9.51743
540	9.51797
542	9.51862
544	9.51833
546	9.5192
548	9.51967
550	9.52036
552	9.51957
554	9.51936
556	9.51978
558	9.5202
560	9.51994
562	9.51969
564	9.51943
566	9.51941
568	9.52069
570	9.51973
572	9.52022
574	9.52054
576	9.52067
578	9.52096
580	9.52032
582	9.51935
584	9.51998
586	9.51983
588	9.52025
590	9.52065
592	9.52022
594	9.51998
596	9.51996
598	9.52009
600	9.52038
602	9.52128
604	9.52125
606	9.52069
608	9.52124
610	9.52152
612	9.52213
614	9.52252
616	9.52163
618	9.52155
620	9.52188
622	9.52294
624	9.52279
626	9.52284
628	9.52274
630	9.52218
632	9.52193
634	9.52282
636	9.5239
638	9.52454
640	9.5237
642	9.5234
644	9.52296
646	9.52224
648	9.52174
650	9.52247
652	9.52311
654	9.52293
656	9.52376
658	9.52426
660	9.5244
662	9.52421
664	9.5237
666	9.52405
668	9.5236
670	9.52322
672	9.5236
674	9.524
676	9.52444
678	9.52392
680	9.52393
682	9.52384
684	9.52376
686	9.52469
688	9.52507
690	9.52531
692	9.52529
694	9.52531
696	9.525
698	9.52448
700	9.52407
702	9.52398
704	9.52477
706	9.52529
708	9.52545
710	9.52548
712	9.52576
714	9.52628
716	9.52705
718	9.52686
720	9.52627
722	9.52594
724	9.52423
726	9.51962
728	9.51189
730	9.50387
732	9.494
734	9.48209
736	9.46932
738	9.45765
740	9.44635
742	9.43558
744	9.42719
746	9.4218
748	9.41985
750	9.41934
752	9.4214
754	9.4264
756	9.43399
758	9.44208
760	9.45
762	9.45861
764	9.46683
766	9.47398
768	9.47959
770	9.48533
772	9.49105
774	9.49605
776	9.4998
778	9.50357
780	9.50652
782	9.50835
784	9.51085
786	9.51239
788	9.5139
790	9.51583
792	9.51638
794	9.51827
796	9.52
798	9.51969
800	9.52178
802	9.52306
804	9.52396
806	9.52407
808	9.524
810	9.52405
812	9.52507
814	9.5255
816	9.52616
818	9.52629
820	9.52679
822	9.52772
824	9.52777
826	9.5285
828	9.52942
830	9.52998
832	9.53026
834	9.52938
836	9.53021
838	9.53062
840	9.53068
842	9.53074
844	9.53151
846	9.53078
848	9.53068
850	9.53122
852	9.531
854	9.53107
856	9.53117
858	9.52958
860	9.52974
862	9.53016
864	9.53046
866	9.53088
868	9.53268
870	9.53187
872	9.53158
874	9.53141
876	9.53146
878	9.53116
880	9.53163
882	9.53119
884	9.53204
886	9.53263
888	9.53305
890	9.53213
892	9.533
894	9.53297
896	9.5323
898	9.53249
900	9.53269
902	9.53266
904	9.53293
906	9.53317
908	9.53363
910	9.53444
912	9.53486
914	9.53468
916	9.53473
918	9.53441
920	9.53415
922	9.53417
924	9.53492
926	9.53494
928	9.53517
930	9.53498
932	9.53521
934	9.53544
936	9.53528
938	9.53438
940	9.53412
942	9.53479
944	9.53527
946	9.53437
948	9.53521
950	9.5351
952	9.53533
954	9.53481
956	9.53471
958	9.5355
960	9.53545
962	9.53402
964	9.53432
966	9.53524
968	9.53541
970	9.53574
972	9.53489
974	9.53472
976	9.53512
978	9.53543
980	9.53629
982	9.53667
984	9.53713
986	9.53685
988	9.53682
990	9.5363
992	9.53591
994	9.53551
996	9.5363
998	9.53665
1000	9.53584
1002	9.53607
1004	9.53728
1006	9.53742
1008	9.53687
1010	9.53699
1012	9.53773
1014	9.53805
1016	9.53807
1018	9.5381
1020	9.53819
1022	9.5385
1024	9.53834
1026	9.53794
1028	9.53777
1030	9.53807
1032	9.53797
1034	9.53799
1036	9.5379
1038	9.53836
1040	9.53908
1042	9.53801
1044	9.53792
1046	9.53808
1048	9.53829
1050	9.53819
1052	9.53731
1054	9.53763
1056	9.53718
1058	9.53725
1060	9.53792
1062	9.53874
1064	9.54
1066	9.53966
1068	9.54029
1070	9.53977
1072	9.53969
1074	9.53912
1076	9.53897
1078	9.53962
1080	9.54051
1082	9.54023
1084	9.53978
1086	9.53572
1088	9.52678
1090	9.51863
1092	9.51037
1094	9.50048
1096	9.48901
1098	9.47789
1100	9.46621
1102	9.45569
1104	9.4481
1106	9.44228
1108	9.44035
1110	9.4395
1112	9.4403
1114	9.44344
1116	9.44978
1118	9.45764
1120	9.46637
1122	9.47396
1124	9.48087
1126	9.48772
1128	9.49474
1130	9.50112
1132	9.50543
1134	9.50949
1136	9.51349
1138	9.51737
1140	9.52012
1142	9.52167
1144	9.52299
1146	9.5258
1148	9.52772
1150	9.52914
1152	9.53112
1154	9.53242
1156	9.5335
1158	9.53407
1160	9.53494
1162	9.53567
1164	9.53614
1166	9.53614
1168	9.53662
1170	9.53789
1172	9.5381
1174	9.53869
1176	9.53929
1178	9.54049
1180	9.54093
1182	9.54062
1184	9.54115
1186	9.54123
1188	9.54136
1190	9.54087
1192	9.54073
1194	9.54083
1196	9.54144
1198	9.54106
1200	9.54119
1202	9.54128
1204	9.54122
1206	9.54166
1208	9.54199
1210	9.54213
1212	9.54254
1214	9.54256
1216	9.54312
1218	9.54373
1220	9.54308
1222	9.543
1224	9.5441
1226	9.54534
1228	9.54461
1230	9.54381
1232	9.54359
1234	9.54382
1236	9.54435
1238	9.544
1240	9.54517
1242	9.54629
1244	9.54528
1246	9.54413
1248	9.54391
1250	9.54372
1252	9.54474
1254	9.54483
1256	9.54544
1258	9.54529
1260	9.54536
1262	9.54572
1264	9.54569
1266	9.54548
1268	9.54646
1270	9.54698
1272	9.5459
1274	9.54562
1276	9.54639
1278	9.54643
1280	9.54661
1282	9.54546
1284	9.54423
1286	9.5441
1288	9.54516
1290	9.54528
1292	9.54591
1294	9.54624
1296	9.54558
1298	9.54546
1300	9.54574
1302	9.54656
1304	9.54667
1306	9.54673
1308	9.547
1310	9.5463
1312	9.54579
1314	9.54612
1316	9.54666
1318	9.54694
1320	9.54651
1322	9.54731
1324	9.54678
1326	9.5472
1328	9.54742
1330	9.54757
1332	9.54804
1334	9.54805
1336	9.54776
1338	9.54668
1340	9.54642
1342	9.54694
1344	9.54713
1346	9.54752
1348	9.54715
1350	9.54709
1352	9.54757
1354	9.54742
1356	9.54792
1358	9.5482
1360	9.54903
1362	9.54806
1364	9.54824
1366	9.54882
1368	9.54902
1370	9.54926
1372	9.54992
1374	9.54965
1376	9.55027
1378	9.5491
1380	9.54916
1382	9.549
1384	9.54862
1386	9.54871
1388	9.5485
1390	9.54892
1392	9.54842
1394	9.54873
1396	9.54895
1398	9.54921
1400	9.54929
1402	9.54957
1404	9.54885
1406	9.54791
1408	9.54883
1410	9.54983
1412	9.54934
1414	9.54912
1416	9.5494
1418	9.5495
1420	9.55011
1422	9.55051
1424	9.5506
1426	9.54991
1428	9.54974
1430	9.55001
1432	9.55029
1434	9.55049
1436	9.55081
1438	9.55083
1440	9.55137
1442	9.5502
1444	9.54965
1446	9.54755
1448	9.54064
1450	9.53271
1452	9.52456
1454	9.515
1456	9.5044
1458	9.494
1460	9.48354
1462	9.47457
1464	9.46731
1466	9.46162
1468	9.45981
1470	9.45904
1472	9.45931
1474	9.4618
1476	9.46651
1478	9.47372
1480	9.48167
1482	9.48938
1484	9.49567
1486	9.50164
1488	9.50704
1490	9.51266
1492	9.51764
1494	9.52156
1496	9.52486
1498	9.5284
1500	9.53128
1502	9.53378
1504	9.5353
1506	9.53612
1508	9.53791
1510	9.53972
1512	9.53997
1514	9.54105
1516	9.5427
1518	9.54401
1520	9.54546
1522	9.54594
1524	9.54633
1526	9.54665
1528	9.54702
1530	9.54712
1532	9.548
1534	9.54793
1536	9.54979
1538	9.55054
1540	9.55036
1542	9.55115
1544	9.55137
1546	9.5516
1548	9.55181
1550	9.55175
1552	9.55071
1554	9.55127
1556	9.55239
1558	9.55306
1560	9.55296
1562	9.5536
1564	9.55381
1566	9.55322
1568	9.55353
1570	9.554
1572	9.55427
1574	9.55499
1576	9.55464
1578	9.55395
1580	9.55396
1582	9.55433
1584	9.55421
1586	9.5533
1588	9.5543
1590	9.55538
1592	9.55456
1594	9.55442
1596	9.55509
1598	9.55507
1600	9.55556
1602	9.55598
1604	9.55549
1606	9.55568
1608	9.55521
1610	9.55576
1612	9.55632
1614	9.55533
1616	9.55537
1618	9.55554
1620	9.55517
1622	9.55569
1624	9.55643
1626	9.55696
1628	9.55651
1630	9.5561
1632	9.55655
1634	9.55655
1636	9.55615
1638	9.55597
1640	9.55625
1642	9.55663
1644	9.55644
1646	9.55639
1648	9.55654
1650	9.55632
1652	9.55647
1654	9.55584
1656	9.55593
1658	9.55756
1660	9.55762
1662	9.5574
1664	9.556
1666	9.55666
1668	9.55673
1670	9.5573
1672	9.55798
1674	9.55777
1676	9.5574
1678	9.55795
1680	9.55823
1682	9.55754
1684	9.5572
1686	9.55742
1688	9.55682
1690	9.55648
1692	9.55757
1694	9.55812
1696	9.55831
1698	9.55824
1700	9.55802
1702	9.55753
1704	9.55822
1706	9.55773
1708	9.5576
1710	9.55796
1712	9.55773
1714	9.55883
1716	9.5588
1718	9.55881
1720	9.55934
1722	9.55933
1724	9.55821
1726	9.55856
1728	9.55889
1730	9.55885
1732	9.55857
1734	9.55921
1736	9.5587
1738	9.55923
1740	9.5598
1742	9.55969
1744	9.56004
1746	9.5593
1748	9.55888
1750	9.55943
1752	9.56021
1754	9.56066
1756	9.56003
1758	9.55896
1760	9.55959
1762	9.55943
1764	9.5602
1766	9.56002
1768	9.55975
1770	9.5601
1772	9.56041
1774	9.56035
1776	9.56025
1778	9.55991
1780	9.56007
1782	9.55969
1784	9.5592
1786	9.55935
1788	9.55966
1790	9.56027
1792	9.56008
1794	9.55996
1796	9.56113
1798	9.55991
1800	9.55966
1802	9.56048
1804	9.55928
1806	9.5564
1808	9.55118
1810	9.54509
1812	9.53885
1814	9.53035
1816	9.5213
1818	9.5116
1820	9.50205
1822	9.4946
1824	9.48756
1826	9.48285
1828	9.47993
1830	9.47803
1832	9.47747
1834	9.47909
1836	9.48438
1838	9.48978
1840	9.4961
1842	9.50241
1844	9.50936
1846	9.51497
1848	9.52123
1850	9.52581
1852	9.53014
1854	9.53448
1856	9.53772
1858	9.54027
1860	9.54218
1862	9.54396
1864	9.54599
1866	9.54827
1868	9.5498
1870	9.55057
1872	9.55206
1874	9.5517
1876	9.55247
1878	9.55357
1880	9.55546
1882	9.55635
1884	9.55774
1886	9.55794
1888	9.55808
1890	9.55803
1892	9.55856
1894	9.55992
1896	9.56056
1898	9.56099
1900	9.56172
1902	9.56107
1904	9.56019
1906	9.56016
1908	9.56071
1910	9.5607
1912	9.56171
1914	9.56291
1916	9.56274
1918	9.56269
1920	9.56228
1922	9.56304
1924	9.56336
1926	9.56357
1928	9.56351
1930	9.56481
1932	9.56371
1934	9.56392
1936	9.56344
1938	9.56363
1940	9.56398
1942	9.56447
1944	9.56405
1946	9.56408
1948	9.56323
1950	9.56325
1952	9.56354
1954	9.56404
1956	9.56483
1958	9.565
1960	9.5655
1962	9.56648
1964	9.56599
1966	9.56573
1968	9.56531
1970	9.56579
1972	9.56571
1974	9.56511
1976	9.56521
1978	9.56618
1980	9.56598
1982	9.566
1984	9.56528
1986	9.56525
1988	9.56595
1990	9.56623
1992	9.56668
1994	9.56693
1996	9.56698
1998	9.56768
2000	9.5674
2002	9.56599
2004	9.56553
2006	9.56622
2008	9.56519
2010	9.56532
2012	9.56566
2014	9.56617
2016	9.56633
2018	9.56676
2020	9.56659
2022	9.56567
2024	9.566
2026	9.56672
2028	9.56643
2030	9.56776
2032	9.56781
2034	9.5671
2036	9.56778
2038	9.56778
2040	9.56698
2042	9.56667
2044	9.56691
2046	9.56785
2048	9.5681
2050	9.56744
2052	9.5669
2054	9.56573
2056	9.56661
2058	9.56687
2060	9.56753
2062	9.56758
2064	9.56725
2066	9.56732
2068	9.56698
2070	9.56735
2072	9.56746
2074	9.56756
2076	9.56741
2078	9.56641
2080	9.56752
2082	9.56839
